,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,assets.datatype,assets.type,assets.value,country
0,uri,http://www.wikidata.org/entity/Q1324287,en,literal,El Khabar,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,,,,,,,,,,wd:Q262
1,uri,http://www.wikidata.org/entity/Q3337704,en,literal,Ooredoo Algérie,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,,,,,,,,,,wd:Q262
2,uri,http://www.wikidata.org/entity/Q110286842,en,literal,Ali Boushaki Hotel,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q262
3,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1008,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q262
4,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q262
5,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1009,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q262
6,uri,http://www.wikidata.org/entity/Q1653883,en,literal,El heddaf,,,,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q262
7,uri,http://www.wikidata.org/entity/Q3551456,en,literal,Mouloud Mammeri University of Tizi Ouzou,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q262
8,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q262
9,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1033,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q262
10,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q262
11,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1041,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q262
12,uri,http://www.wikidata.org/entity/Q1162323,en,literal,Algeria Press Service,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,"http://www.wikidata.org/entity/Q56611639, http://www.wikidata.org/entity/Q1193236",literal,,literal,,literal,"http://www.wikidata.org/entity/Q2534015, http://www.wikidata.org/entity/Q3561",literal,,,,,,,,,,,wd:Q262
13,uri,http://www.wikidata.org/entity/Q114220301,en,literal,Medialgeria,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,"http://www.wikidata.org/entity/Q3321471, http://www.wikidata.org/entity/Q133080, http://www.wikidata.org/entity/Q39809",literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,,,,,,,,,,wd:Q262
14,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q79,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q262
15,uri,http://www.wikidata.org/entity/Q2883031,en,literal,BADR,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,,,,,,,,,,wd:Q262
16,uri,http://www.wikidata.org/entity/Q42343122,en,literal,Caisse nationale des assurances sociales,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q262
17,uri,http://www.wikidata.org/entity/Q86660761,en,literal,Banque extérieure d'Algérie,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q262,literal,,ar,literal,بنك الجزائر الخارجي,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,230000000000,wd:Q262
18,uri,http://www.wikidata.org/entity/Q3551396,en,literal,Université Djillali Liabes,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q262
19,uri,http://www.wikidata.org/entity/Q787656,en,literal,University of Blida,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q262
20,uri,http://www.wikidata.org/entity/Q3490327,en,literal,Sonelgaz,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-07-28T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,"http://www.wikidata.org/entity/Q1326624, http://www.wikidata.org/entity/Q40858",literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,ar,literal,الشركة الوطنية للكهرباء والغاز,,,,,,,wd:Q262
21,uri,http://www.wikidata.org/entity/Q2826659,en,literal,Anesrif,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,http://www.wikidata.org/entity/Q22667,literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,,,,,,,,,,wd:Q262
22,uri,http://www.wikidata.org/entity/Q2883410,en,literal,National Bank of Algeria,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-06-13T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q262
23,uri,http://www.wikidata.org/entity/Q64410371,en,literal,BDL,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-04-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2217496,literal,,,,,,,,,,,wd:Q262
24,uri,http://www.wikidata.org/entity/Q406764,en,literal,Air Algérie,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,9078,,,,wd:Q262
25,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q262
26,uri,http://www.wikidata.org/entity/Q2819545,en,literal,Mobilis,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,http://www.wikidata.org/entity/Q56598901,literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,,,,,,,,,,wd:Q262
27,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q262
28,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,wd:Q262
29,uri,http://www.wikidata.org/entity/Q66741407,en,literal,VERBACHY,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,http://www.wikidata.org/entity/Q12684,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q262
30,uri,http://www.wikidata.org/entity/Q3551640,en,literal,University of Mostaganem,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q262
31,uri,http://www.wikidata.org/entity/Q1090717,en,literal,Sonatrach,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,"http://www.wikidata.org/entity/Q12089268, http://www.wikidata.org/entity/Q862571",literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,200000,,,,wd:Q262
32,uri,http://www.wikidata.org/entity/Q2931752,en,literal,CNEP-Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3561,literal,,,,,,,,,,,wd:Q262
33,uri,http://www.wikidata.org/entity/Q3148108,en,literal,Ifri,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q262,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3358841,literal,,,,,,,,,,,wd:Q262
